"ID","Exporter","E-mail Address","Postal Address","Physical Address","Location","Registration Date","Renewal Date"
"86TRADING","0086 Trading International Limited","qa@oranutrition.co.nz","PO Box 97287 Manukau Auckland 2241","14 Earl Richardson Avenue, Wiri","Auckland","4/01/2019","4/01/2022"
"HVNZL1","100% Pure New Zealand Honey Limited","sean@purenewzealandhoney.com","P O Box 2155 TIMARU 7941","15 Treneglos Street, Washdyke","Timaru","21/09/2000","21/09/2021"
"NZP100","100%Purenz International Trading Limited","nz100accounts@nz100.com.cn","38B Greenmount Drive East Tamaki Auckland 2013","38B Greenmount Drive, East Tamaki","Auckland","1/09/2016","1/09/2021"
"1010","1839 Limited","hannah@1839honey.com","PO Box 3210 202 Chadwick Road Greerton Tauranga 3112","74 Paerangi Place Tauriko","Tauranga","30/09/2008","31/08/2021"
"280QUEEN","280 Queen Street (2005) Limited","glynis.yacoub@gxh.co.nz","280 Queen Street Auckland City Auckland 1010","280 Queen Street, Auckland City","Auckland","25/11/2019","25/11/2021"
"3BEE","3 Bee Limited","dorje@3bee.co.nz","100 Teapot Valley Road RD1 Brightwater 7091","100 Teapot Valley Road, Brightwater","Nelson","8/01/2018","8/01/2022"
"3TSOLUTION","3T Solutions Limited","solutions3t@hotmail.com"," ","1 Burnsall Place, Avondale","Auckland 1026","10/12/2020","10/12/2021"
"4HECTOR","4Hector Limited","lindsay@mcclean.co.nz","P O Box 6002 Queenstown 9348","13 Wilkin Road","Makarora 9382","29/09/2020","29/09/2021"
"4MIL","4M International Limited","xumei1117@gmail.com","14 Carrowmore Pinehill Auckland 0632","14 Carrowmore, Pinehill","Auckland","9/03/2020","9/03/2022"
"88BRANDS","88 Brands Limited","stu@88brands.nz","3 Mount Taylor Drive Feilding 4775 New Zealand","3 Mount Taylor Drive","Feilding 4775","18/02/2021","18/02/2022"
"ABINTE08","A B International Limited","accounts@abinternational.co.nz","PO Box 27421 Mt Roskill Auckland 1440","3/117 Montgomerie Road, Airport Oaks, Manukau","Auckland","15/09/2014","17/09/2021"
"1MRBEE","A J Richards Mr Bee Limited","ajrichardsmrbee@gmail.com","14 Bastia Avenue Bastia Hill Wanaganui 4500","14 Bastia Avenue, Bastia Hill","Wanganui 4500","1/04/2020","1/04/2022"
"TOUCHOFC1","A TOUCH OF COUNTRY LIMITED","thebutcherettenz@gmail.com"," ","1499 Eighty Eight Valley Road Eighty Eight Valley","Wakefield 7095","25/03/2021","25/03/2022"
"AVL2","A Verkerk Limited","Ange.Genet@verkerks.co.nz","PO Box 5234 Papanui Christchurch 8542","94 Vagues Road, Papanui","Christchurch","30/03/2017","12/12/2021"
"SCHNEID01","A.J. SCHNEIDEMAN & CO. LIMITED","peter@dfsouvenirs.co.nz","PO Box 781 Christchurch 8140","32 The Mall","Queenstown 9310","14/01/2021","14/01/2022"
"4724","A.M.I. Export Limited","john@amiexport.com","PO Box 673 Blenheim 7240","7 Fielder Place, Cloudy Bay Business Park, SH1","Blenheim 7274","27/04/2017","27/04/2022"
"A2INL1","A2 Infant Nutrition Limited","anushka.kiran@a2milk.com","Level 10 51 Shortland Street Auckland City 1010 Auckland","Level 10, 51 Shortland Street, Auckland City","Auckland 1010","25/03/2014","15/08/2021"
"A2INL2","A2 Infant Nutrition Limited","anushka.kiran@a2milk.com","51 Shortland Street Auckland Central Auckland 1010","51 Shortland Street, Auckland Central","Auckland","29/04/2021","29/04/2022"
"A2INL3","A2 Infant Nutrition Limited","anushka.kiran@a2milk.com","51 Shortland Street Auckland Central Auckland 1010","51 Shortland Street, Auckland Central","Auckland","29/04/2021","29/04/2022"
"AAHANA1","Aahana Investments Limited","aahanainvestments2016@gmail.com","27A Rimu Road Manurewa Auckland 2102 New Zealand","27A Rimu Road, Manurewa","Auckland 2102","7/09/2020","7/09/2021"
"AAMLTD13","AAM Limited","mumtaj.agarbattiwala@gmail.com"," ","18 Chard Place Flat bush","Auckland 2016","12/09/2019","12/09/2021"
"AGILITYHC1","Aaron & Willoughby Limited trading as Agility Health Company New Zealand","greg@agilityhealthco.com","16 Matai Drive Totara Park Maungaturoto 0520","16 Matai Drive","Maungaturoto","27/05/2016","27/05/2022"
"ABX2000","Abbex International Limited","jessica@abbex.co.nz","P O Box 36300 Northcote AUCKLAND 0748","48D Lake Road, Northcote","Auckland 0627","30/12/2000","24/11/2021"
"ABCONZ01","ABCO Laboratories NZ Limited","nick@abcodirect.com"," ","Suite 12 8 Turua Street St Heliers","Auckland 1071","15/01/2021","15/01/2022"
"KUDDUSA1","Abdul Kuddus & Sons Limited","Kuddus.abdul18@gmail.com","PO Box 97484 Manukau City Auckland","35 Ransom Smyth Drive, Goodwood Heights","Auckland 2105","26/02/2016","26/02/2022"
"KK54715822","Abdulkarim Alsahli","al-sahliy213@hotmail.com"," ","3 Evelyn Court Dinsdale","Hamilton 3204","8/12/2020","8/12/2021"
"ABEECO1","Abeeco Limited","jude@abeeco.com","PO Box 38, Red Beach, Auckland 0945","8/44 Silverdale Street, Silverdale","Auckland 0932","16/09/2019","16/09/2021"
"ABSOLUTE01","Absolute Wilderness Limited","team@absolutewilderness.co.nz"," ","26 McMahon Street, Stoke","Nelson 7010","9/06/2021","9/06/2022"
"ACE1","ACE CONNECT NZ LIMITED","helllo@aceconnect.co.nz","302d Hillsborough Road Hillsborough Auckland 1042 New Zealand","302d Hillsborough Road, Hillsborough","Auckland 1042","21/12/2020","21/12/2021"
"ACEENZ2018","Acee New Zealand Limited","aceenewzealand@gmail.com","139 Guys Road East Tamaki Auckland 2013","120 Argento Avenue, Flat Bush","Auckland 2019","12/06/2018","12/06/2022"
"AFO1","Addiction Foods NZ Limited","meili@addictionfoods.com","242 Jellicoe Street TE PUKE 3119","240 Jellicoe Street, Bay of Plenty","Te Puke 3119","20/01/2016","20/10/2021"
"ADL1","Advance Dairy Limited","timharrison@advancemarketing.co.nz","PO Box 37-160, Parnell, Auckland 1151","27 Bath Street, Parnell","Auckland 1052","17/05/2021","17/05/2022"
"ELN1152","Advance Marketing Limited","timharrison@advancemarketing.co.nz","P O Box 37160 Parnell AUCKLAND 1151","2/27 Bath Street, Parnell","Auckland","13/07/2017","17/07/2022"
"AERO1","Aero Pets New Zealand Limited","office@aeropets.co.nz","PO Box 147-269 Ponsonby Auckland 1144","2 Newell Street, Point Chevalier","Auckland 1022","3/12/2014","3/12/2021"
"AFFCO1","AFFCO New Zealand Limited","nadene.gibson@affco.co.nz","C/O AFFCO Corporate Office, Great South Road, Horotiu","6128 Great South Road, Corporate Office","Horotiu","26/04/2000","1/05/2022"
"AFFCO3","AFFCO New Zealand Limited","nadene.gibson@affco.co.nz","Private Bag 3301 Waikato Mail Centre Hamilton 3240","Affco New Zealand Limited, Corporate Office, Great South Road, SH1, Horotiu","Hamilton 3288","2/03/2020","9/12/2020"
"AFFCO4","AFFCO New Zealand Limited","nadene.gibson@affco.co.nz","Private Bag 3301 Waikato Mail Centre Hamilton 3240","Affco New Zealand Limited, Corporate Office, Great South Road, SH1, Horotiu","Hamilton 3288","2/03/2020","9/12/2021"
"AFFCO5","AFFCO New Zealand Limited","nadene.gibson@affco.co.nz","Private Bag 3301 Waikato Mail Centre Hamilton 3240","Affco New Zealand Limited, Corporate Office, Great South Road, SH1, Horotiu","Hamilton 3288","2/03/2020","9/12/2021"
"AHP1","Affordable Health Products Limited","afhp@xtra.co.nz","190 Paige Place RD8 Christchurch 7678","190 Paige Place, RD8","Christchurch","21/04/2021","21/04/2022"
"AGSEARCH2","AgResearch Limited","ian.fowler@agresearch.co.nz","PO Box 4749 Lincoln 8140","1365 Springs Road RD 4","Lincoln 7674","5/09/2016","5/09/2021"
"AGR1BEST1","Agri-Best Dairy Products Limited","accounts@agri-best.com.au","PO Box 99841 Newmarket Auckland 1149","142 Broadway, Newmarket","Auckland 1149","25/03/2014","6/01/2022"
"ALB3","Agri-Lab Co-Products Limited","agri-lab@xtra.co.nz","9 Hatuma Road Waipukurau 4200","9 Hatuma Road","Waipukurau","7/06/2017","3/07/2022"
"AGNZ01","Agribusiness New Zealand Limited","conor@agribusinessnz.co.nz"," ","Level 1, 85 Ghuznee Street, Te Aro","Wellington 6011","10/06/2020","10/06/2021"
"AHIKA5","Ahika Proprietary Limited","simon@aoteatonics.co.nz"," ","58 Surrey Crescent Grey Lynn","Auckland 1021","29/08/2019","29/08/2021"
"AHT01","AHT Holding Limited","infoapacmall@gmail.com","424 Memorial Avenue Burnside Christchurch 8053","424 Memorial Avenue, Burnside","Christchurch","17/08/2020","17/08/2021"
"HMIN001","AION Cargo Solutions Limited","kay@aioncargo.com"," ","40 Airpark Drive","Manukau 2022","24/02/2016","24/02/2022"
"AIRBORNE1","Airborne Honey Limited","bev@airborne.co.nz","P O Box 28 Leeston 7656","41 Pennington Street","Leeston","3/08/2016","1/05/2022"
"AIRCARE02","AirCare Pet Services Limited","garry@aircarepets.co.nz","PO Box 201210 Auckland Airport 2150","92 Prices Road, Manukau","Auckland","18/01/2019","11/02/2022"
"ERGOT7","Airlangga Hutama trading as Ergotama Limited","ergotama@gmail.com","11/206 Manuka Road Bayview Auckland 0629 New Zealand","11/206 Manuka Road, Bayview","Auckland 0629","1/10/2020","1/10/2021"
"AKAROA3","Akaroa Salmon New Zealand Limited","factorymanager@akaroasalmon.co.nz","PO Box 8265 Riccarton Christchurch 8440","89 Treffers Road, Wigram","Christchurch","17/09/2013","28/07/2022"
"AKERBIO4","Aker Biomarine New Zealand Limited NZ agent for Aker Biomarine Antarctic AS","ian.chant@akerbiomarine.com","287-293 Durham Street Level 1 Awly Building Christchurch 8018","287-293 Durham Street, Level 1 Awly Building","Christchurch","16/04/2020","16/04/2022"
"VAL1","Alabar (NZ) Limited","alabar@alabar.co.nz","480 Seagrove Road R D 4 PUKEKOHE 2679","480 Seagrove Road, Waiau Pa","Pukekohe","12/09/2000","12/09/2021"
"ALARO412","Alaron Products Limited","michael.bialous@alaron.co.nz","13 Bolt Road, Tahunanui","Nelson 7011","27/06/2011","2/05/2022"
"NAVI1618","Alchemy & Guild Limited","navi@others.co.nz"," ","317 Tuam Street, Christchurch Central","Christchurch 8011","2/03/2021","2/03/2022"
"VONIMP1","Aleksandra Turjak","catfly@thecatcradle.com","P O Box 7 Houhora 0484","392 Henderson Bay Road","Houhora","15/05/2012","15/05/2021"
"NATURE2U","Ali International Limited","service@inature.co.nz"," ","99 Endeavour Drive, Whitby","Porirua","28/07/2015","18/09/2021"
"ALIVEPLUS1","Aliveplus Payments Limited","awesterby@yahoo.com","705/86 The Strand Parnell Auckland 1010","35 Vercoe Road, Beerescourt","Hamilton","5/08/2013","4/08/2021"
"ALLGREEN2","All Green Limited","sales@allgreen.net.nz"," ","14 Newark Place Otara","Auckland 2013","12/12/2018","12/12/2021"
"ALLNEW1","All New Zealand Wines Limited","shin.saito@nz-wines.co.nz","PO Box 105207, Auckland City Central Mail Centre, Auckland","Room 8, Level 2, Cathedral House, 48-52 Wyndham Street","Auckland","30/09/2020","30/09/2021"
"AGL134","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","22/08/2003","30/05/2022"
"AGL136","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","20/10/2008","30/05/2022"
"AGL138","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL17","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL18","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL190","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","16/07/2004","30/05/2022"
"AGL1","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL21","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL22","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL40","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL50","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"AGL64","Alliance Group Limited","doreen.reid@alliance.co.nz","PO Box 845 Invercargill 9840","51 Don Street","Invercargill","30/05/2001","30/05/2022"
"ALFX1","Allied Faxi New Zealand Food Co., Limited","gaylenewatene@faxi.co.nz","112 Kerepehi Town Road RD1 Paeroa 3671","112 Kerepehi Town Road, RD1","Paeroa 3671","2/02/2016","2/02/2022"
"AP1","Allpacific Limited","sales@allpacific.co.nz","12 Gannet Point Rothesay Bay Auckland 0630","12 Gannet Point, Rothesay Bay","Auckland 0630","1/11/2016","1/11/2021"
"OTAGO69081","Alpaca World Limited","otagoshop@gmail.com"," ","7 Chain Hills Highway","Omarama","10/11/2017","10/11/2021"
"BIOTECH8","Alpha Bio-Tech (NZ) Limited","d.hsu@alpha-group.co.nz","8 Ha Crescent Wiri Auckland 2104","8 Ha Crescent, Wiri","Auckland","16/08/2018","16/08/2021"
"ALPHA8","Alpha Health Care (New Zealand) Limited","ryan@alpha-group.co.nz","PO Box 58928 Botany Auckland 2163","8 Ha Crescent, Manukau","Auckland","10/03/2017","10/03/2022"
"AER1","Alpha Laboratories (NZ) Limited","elva.guo@alphalabs.co.nz","PO Box 204369 Highbrook Auckland 2161","16-18 Bowden Road, Mount Wellington","Auckland 1060","18/06/2015","14/04/2022"
"EX01","Alpha Laboratories (NZ) Limited","ke.liu@alphalabs.co.nz"," ","48 Crooks Road, East Tamaki","Auckland 2013","7/12/2012","7/12/2021"
"GE211","Alpine Deer NZ LP","denise@deer.co.nz","642 Pyes Pa Road RD 3 Tauranga 3173","642 Pyes Pa Road, RD3","Tauranga","16/07/2015","16/07/2022"
"GE5","Alpine Deer NZ LP","justine@deer.co.nz","PO Box 218 Wanaka 9343","Rapid 50 Church Road","Luggate","1/11/1999","1/05/2022"
"MEL1307","Alpine Export NZ Limited","sue@alpinexport.co.nz","32 Koromiko Street Judea Tauranga 3110","32 Koromiko Street, Judea","Tauranga 3110","9/05/2002","9/05/2022"
"PURE100","Alpine Health Manufacturing New Zealand Limited","accounts@ahmnz.co.nz","Private Bag 611 Greymouth 7840","189 Heaphy Road, RD1","Dobson 7872","6/04/2021","6/04/2022"
"ALPINE71","Alpine Honey Specialties Limited","office@alpine.co.nz","71 Domain Road RD2 Wanaka 9382","198 Domain Road, Hawea Flat, RD2","Wanaka 9382","10/10/2013","31/10/2021"
"ALSANJAK1","Alsanjak Limited","hassan400@yahoo.com"," ","1/39 Ambrico Place, New Lynn","Auckland 0600","20/04/2020","20/04/2021"
"NEVO2011","Alwayster Trading Limited","joyce@nlhealth.co.nz"," ","46 Ormiston Road, East Tamaki","Auckland 2019","29/05/2013","29/05/2022"
"AFE1","Amalgamated Fur Exporters Limited","jrh@whi.nz","PO Box 39-093 Harewood Christchurch 8545","78 Falsgrave Street, Waltham","Christchurch","13/06/2018","13/06/2022"
"AMBER1","Amber Valley Honey Group Limited","info@ambervalley.co.nz","PO Box 39 147 WMC Petone Lower Hutt 5045","17 Gear Street, Petone","Lower Hutt 5012","24/08/2018","24/08/2021"
"AMPLE168","Ample Group Limited","info@amplegroup.nz","PO BOX 193 Stratford 4852","3396 Mountain Road","Stratford","7/05/2020","12/02/2022"
"AMRITA1","Amrita Nutrition Limited","quality@amritanutrition.co.nz","59 Druces Road Wiri Auckland 2104","59 Druces Road, Wiri","Auckland 2104","16/04/2013","20/04/2022"
"AMS3","AMS Recruitment Limited","t.ikinofo@hotmail.com","PO Box 69080 Glendene Auckland 0602","1/4 Henderson Valley Road, Henderson","Auckland 0612","28/06/2017","1/07/2021"
